n,e_tilda,w^2
0.0,0.0,0.0
41.0,67.93548387096774,0.0
46.0,66.96774193548387,0.0
49.0,79.80645161290323,0.0
50.0,80.64516129032259,0.0
51.0,78.90322580645162,0.0
55.0,74.51612903225808,0.0
61.0,76.9677419354839,0.0
62.0,80.38709677419354,0.0
65.0,82.90322580645164,0.0
66.0,81.16129032258067,0.0
66.0,83.74193548387098,0.0
68.0,72.51612903225805,0.0
69.0,78.51612903225805,0.0
167.0,134.9032258064516,1.0
168.0,135.74193548387098,1.0
182.0,173.29032258064524,0.0
181.0,172.45161290322585,0.0
182.0,173.29032258064524,0.0
183.0,174.1290322580645,0.0
183.0,187.0322580645161,0.0
222.0,227.48387096774195,0.0
231.0,338.258064516129,0.0
230.0,332.258064516129,0.0
231.0,335.6774193548388,0.0
232.0,333.9354838709678,0.0
233.0,332.1935483870968,0.0
233.0,321.8709677419356,0.0
235.0,333.8709677419356,0.0
242.0,339.741935483871,0.0
244.0,341.41935483870975,0.0
271.0,407.9354838709678,0.0
270.0,404.51612903225805,0.0
273.0,412.1935483870968,0.0
272.0,408.7741935483871,0.0
273.0,412.1935483870968,0.0
271.0,410.51612903225805,0.0
272.0,416.51612903225805,0.0
295.0,430.6451612903227,0.0
298.0,425.41935483870975,0.0
300.0,427.0967741935485,0.0
300.0,424.51612903225805,0.0
301.0,430.51612903225805,0.0
297.0,440.0645161290322,0.0
298.0,440.9032258064517,0.0
299.0,444.3225806451612,0.0
300.0,450.3225806451612,0.0
301.0,464.0645161290322,0.0
302.0,467.48387096774195,0.0
303.0,463.1612903225807,0.0
307.0,469.0967741935485,0.0
318.0,475.741935483871,0.0
319.0,476.5806451612905,0.0
320.0,480.0,0.0
320.0,477.41935483870975,0.0
321.0,480.8387096774195,0.0
363.0,505.741935483871,0.0
364.0,509.1612903225807,0.0
367.0,534.9032258064517,0.0
368.0,530.5806451612905,0.0
379.0,542.3870967741937,0.0
380.0,540.6451612903227,0.0
381.0,538.9032258064517,0.0
386.0,563.741935483871,0.0
387.0,567.1612903225807,0.0
388.0,568.0,0.0
393.0,577.3548387096776,0.0
399.0,574.6451612903227,0.0
400.0,603.8709677419356,0.0
401.0,602.1290322580646,0.0
402.0,608.1290322580646,0.0
403.0,616.7096774193549,0.0
404.0,620.1290322580646,0.0
408.0,615.741935483871,0.0
