n,e_tilda,w^2
0.0,0.0,0.0
145.0,70.0,0.0
250.0,180.0,0.0
251.0,186.0,0.0
249.0,185.1111111111111,0.0
505.0,507.7777777777778,0.0
580.0,602.2222222222222,4.0
574.0,599.5555555555557,4.0
579.0,618.4444444444443,4.0
565.0,621.1111111111113,1.0
549.0,680.6666666666665,0.0
550.0,686.6666666666665,0.0
589.0,782.8888888888891,0.0
628.0,803.5555555555557,1.0
627.0,799.7777777777778,1.0
617.0,770.8888888888891,0.0
618.0,770.2222222222222,0.0
617.0,770.8888888888891,0.0
657.0,788.666666666667,1.0
661.0,743.7777777777778,0.0
649.0,825.1111111111113,0.0
615.0,836.6666666666665,0.0
614.0,837.3333333333335,0.0
604.0,830.6666666666665,1.0
606.0,831.5555555555557,1.0
608.0,850.2222222222222,1.0
608.0,852.4444444444443,1.0
623.0,804.6666666666665,0.0
614.0,788.4444444444443,0.0
613.0,786.8888888888891,0.0
606.0,789.3333333333335,0.0
603.0,798.0,0.0
602.0,798.6666666666665,0.0
602.0,812.0,0.0
598.0,821.3333333333335,0.0
611.0,850.4444444444443,0.0
609.0,847.3333333333335,0.0
614.0,848.4444444444443,0.0
615.0,854.4444444444443,0.0
605.0,847.7777777777778,0.0
602.0,843.1111111111113,0.0
601.0,839.3333333333335,0.0
593.0,835.7777777777778,0.0
590.0,888.8888888888891,0.0
590.0,886.6666666666665,0.0
590.0,884.4444444444443,0.0
591.0,888.2222222222222,0.0
596.0,904.8888888888891,0.0
597.0,906.4444444444443,0.0
598.0,916.8888888888891,0.0
599.0,922.8888888888891,0.0
601.0,928.2222222222222,0.0
624.0,968.4444444444443,0.0
623.0,964.6666666666665,0.0
622.0,972.0,0.0
631.0,977.1111111111113,0.0
627.0,937.5555555555557,0.0
627.0,944.2222222222222,0.0
629.0,916.2222222222222,0.0
630.0,915.5555555555557,0.0
629.0,911.7777777777778,0.0
629.0,905.1111111111113,0.0
628.0,928.0,0.0
622.0,912.0,0.0
621.0,908.2222222222222,0.0
620.0,902.2222222222222,0.0
625.0,894.4444444444443,0.0
624.0,897.3333333333335,0.0
638.0,968.0,0.0
635.0,972.2222222222222,0.0
624.0,1008.4444444444443,0.0
616.0,989.3333333333335,0.0
621.0,986.0,0.0
620.0,986.6666666666665,0.0
619.0,982.8888888888891,0.0
618.0,983.5555555555557,0.0
618.0,981.3333333333335,0.0
613.0,980.2222222222222,0.0
612.0,980.8888888888891,0.0
612.0,978.6666666666665,0.0
615.0,981.1111111111113,0.0
614.0,990.6666666666665,0.0
615.0,990.0,0.0
615.0,987.7777777777778,0.0
614.0,990.6666666666665,0.0
618.0,1023.5555555555557,0.0
617.0,1026.4444444444443,0.0
617.0,1024.2222222222222,0.0
619.0,1011.7777777777778,0.0
620.0,1011.1111111111113,0.0
618.0,1008.0,0.0
619.0,1009.5555555555557,0.0
617.0,1004.2222222222222,0.0
612.0,1023.1111111111113,0.0
618.0,1001.3333333333335,1.0
578.0,950.2222222222222,0.0
658.0,936.8888888888891,0.0
656.0,933.7777777777778,0.0
657.0,935.3333333333335,0.0
657.0,937.5555555555557,0.0
662.0,892.0,0.0
685.0,916.666666666667,1.0
684.0,915.1111111111113,1.0
686.0,920.4444444444443,1.0
688.0,925.7777777777778,1.0
688.0,908.0,1.0
689.0,907.3333333333335,1.0
689.0,907.3333333333335,1.0
690.0,908.8888888888891,1.0
668.0,872.4444444444443,0.0
667.0,868.666666666667,0.0
640.0,1017.7777777777778,0.0
625.0,1025.5555555555557,1.0
626.0,1018.2222222222222,1.0
627.0,1055.3333333333335,0.0
626.0,1056.0,0.0
627.0,1055.3333333333335,0.0
630.0,1060.0,0.0
632.0,1065.3333333333335,0.0
622.0,1058.6666666666665,0.0
621.0,1041.5555555555557,0.0
625.0,1036.6666666666665,0.0
625.0,1036.6666666666665,0.0
633.0,1029.1111111111113,0.0
634.0,1006.2222222222222,0.0
642.0,1018.6666666666665,1.0
641.0,1008.2222222222222,1.0
642.0,1012.0,1.0
645.0,1021.1111111111113,1.0
652.0,1018.6666666666665,1.0
654.0,1037.3333333333335,1.0
654.0,1037.3333333333335,1.0
651.0,1034.8888888888891,1.0
650.0,1026.6666666666665,1.0
649.0,1022.8888888888891,1.0
650.0,1028.8888888888891,1.0
651.0,1030.4444444444443,1.0
668.0,1096.8888888888891,1.0
669.0,1094.0,1.0
672.0,1145.3333333333335,1.0
666.0,1162.6666666666665,0.0
667.0,1164.2222222222222,0.0
668.0,1168.0,0.0
668.0,1165.7777777777778,0.0
637.0,1162.0,0.0
638.0,1163.5555555555557,0.0
642.0,1176.4444444444443,0.0
644.0,1157.3333333333335,0.0
642.0,1156.4444444444443,0.0
647.0,1155.3333333333335,0.0
647.0,1153.1111111111113,0.0
649.0,1158.4444444444443,0.0
648.0,1161.3333333333335,0.0
648.0,1159.1111111111113,0.0
648.0,1154.6666666666665,0.0
649.0,1156.2222222222222,0.0
652.0,1158.6666666666665,0.0
652.0,1160.8888888888891,0.0
667.0,1186.4444444444443,0.0
668.0,1188.0,0.0
668.0,1188.0,0.0
668.0,1188.0,0.0
668.0,1205.7777777777778,0.0
668.0,1208.0,0.0
679.0,1216.2222222222222,0.0
703.0,1146.8888888888891,0.0
705.0,1150.0,0.0
706.0,1151.5555555555557,0.0
707.0,1148.666666666667,0.0
706.0,1156.0,0.0
705.0,1156.666666666667,0.0
704.0,1155.1111111111113,0.0
706.0,1158.2222222222222,0.0
701.0,1154.8888888888891,0.0
702.0,1160.8888888888891,0.0
704.0,1159.5555555555557,0.0
704.0,1157.3333333333335,0.0
702.0,1156.4444444444443,0.0
715.0,1141.1111111111113,0.0
699.0,1096.2222222222222,0.0
701.0,1110.4444444444443,0.0
700.0,1106.666666666667,0.0
702.0,1114.2222222222222,0.0
708.0,985.7777777777778,1.0
702.0,980.8888888888891,1.0
730.0,1028.8888888888891,1.0
685.0,983.3333333333335,1.0
685.0,978.8888888888891,1.0
686.0,984.8888888888891,1.0
667.0,975.3333333333335,1.0
