n,e_tilda,w^2
0.0,0.0,0.0
1.0,0.2857142857142856,0.0
4.0,-4.571428571428569,0.0
10.0,-12.38095238095238,0.0
31.0,-15.904761904761898,0.0
34.0,-16.952380952380935,0.0
87.0,-24.66666666666663,0.0
356.0,107.42857142857156,1.0
423.0,158.9523809523812,0.0
608.0,335.6190476190477,0.0
609.0,334.0,0.0
610.0,330.4761904761908,0.0
624.0,420.19047619047615,0.0
624.0,429.7142857142858,0.0
624.0,431.6190476190477,0.0
624.0,441.14285714285734,0.0
622.0,530.0952380952381,1.0
622.0,535.8095238095239,1.0
655.0,533.8095238095239,4.0
698.0,658.4761904761908,0.0
699.0,656.8571428571431,0.0
698.0,652.761904761905,0.0
698.0,652.761904761905,0.0
699.0,653.0476190476193,0.0
701.0,655.5238095238096,0.0
713.0,678.0,1.0
714.0,672.5714285714289,1.0
688.0,688.0,4.0
703.0,633.2380952380954,4.0
703.0,644.666666666667,4.0
704.0,648.761904761905,4.0
707.0,638.1904761904761,4.0
724.0,580.1904761904761,1.0
722.0,547.2380952380954,1.0
732.0,662.4761904761908,1.0
719.0,719.7142857142858,1.0
722.0,705.3333333333335,0.0
705.0,670.0,0.0
746.0,708.3809523809527,0.0
739.0,685.4285714285716,0.0
735.0,699.5238095238096,4.0
734.0,693.5238095238096,4.0
735.0,697.6190476190477,4.0
722.0,794.8571428571431,1.0
727.0,843.9047619047619,4.0
751.0,814.5714285714289,1.0
752.0,812.9523809523812,1.0
749.0,777.8095238095239,1.0
750.0,781.9047619047619,1.0
751.0,793.6190476190477,1.0
726.0,727.4285714285716,0.0
761.0,745.0476190476193,4.0
762.0,747.2380952380954,4.0
762.0,749.1428571428573,4.0
739.0,752.0952380952381,0.0
746.0,736.9523809523812,0.0
732.0,626.2857142857142,1.0
715.0,642.3809523809527,1.0
715.0,642.3809523809527,1.0
716.0,640.761904761905,1.0
707.0,666.761904761905,9.0
706.0,712.1904761904761,9.0
689.0,732.0952380952381,4.0
723.0,690.3809523809527,1.0
720.0,704.761904761905,4.0
719.0,702.5714285714289,4.0
718.0,704.1904761904761,4.0
718.0,711.8095238095239,4.0
718.0,709.9047619047619,4.0
718.0,709.9047619047619,4.0
717.0,711.5238095238096,4.0
717.0,709.6190476190477,4.0
717.0,692.4761904761908,1.0
737.0,608.666666666667,1.0
736.0,612.1904761904761,1.0
741.0,548.8571428571431,4.0
716.0,515.0476190476193,1.0
704.0,614.4761904761908,1.0
710.0,621.9047619047619,1.0
731.0,551.7142857142858,1.0
728.0,461.3333333333335,0.0
729.0,465.42857142857156,0.0
729.0,467.3333333333335,0.0
702.0,537.7142857142858,1.0
668.0,630.8571428571431,0.0
671.0,639.3333333333335,0.0
672.0,641.5238095238096,0.0
673.0,641.8095238095239,0.0
685.0,637.6190476190477,0.0
690.0,675.2380952380954,0.0
689.0,671.1428571428573,0.0
689.0,671.1428571428573,0.0
683.0,673.2380952380954,1.0
688.0,731.8095238095239,0.0
688.0,731.8095238095239,0.0
687.0,729.6190476190477,0.0
734.0,784.9523809523812,1.0
751.0,757.4285714285716,1.0
737.0,852.4761904761908,1.0
738.0,850.8571428571431,1.0
774.0,754.4761904761908,1.0
730.0,652.3809523809527,1.0
703.0,806.5714285714289,0.0
686.0,786.4761904761908,0.0
685.0,784.2857142857142,0.0
692.0,670.0952380952381,4.0
692.0,673.9047619047619,4.0
695.0,661.4285714285716,1.0
694.0,663.0476190476193,1.0
693.0,662.761904761905,1.0
687.0,659.1428571428573,1.0
709.0,631.1428571428573,1.0
691.0,610.761904761905,0.0
690.0,610.4761904761908,0.0
720.0,619.0476190476193,0.0
718.0,618.4761904761908,0.0
715.0,648.0952380952381,1.0
702.0,667.2380952380954,0.0
712.0,588.1904761904761,4.0
710.0,583.8095238095239,4.0
705.0,570.9523809523812,1.0
712.0,498.66666666666697,0.0
687.0,575.3333333333335,1.0
690.0,587.6190476190477,0.0
685.0,580.4761904761908,0.0
686.0,580.761904761905,0.0
671.0,618.3809523809527,0.0
671.0,618.3809523809527,0.0
659.0,639.7142857142858,0.0
706.0,685.5238095238096,4.0
719.0,685.4285714285716,9.0
714.0,695.4285714285716,9.0
715.0,693.8095238095239,9.0
714.0,695.4285714285716,9.0
715.0,697.6190476190477,9.0
715.0,697.6190476190477,9.0
714.0,697.3333333333335,9.0
719.0,698.761904761905,9.0
726.0,708.3809523809527,1.0
750.0,639.0476190476193,0.0
697.0,662.0,0.0
689.0,610.1904761904761,1.0
723.0,658.0,1.0
696.0,715.0476190476193,1.0
696.0,715.0476190476193,1.0
719.0,651.1428571428573,9.0
720.0,649.5238095238096,9.0
724.0,654.4761904761908,9.0
729.0,669.2380952380954,4.0
729.0,673.0476190476193,4.0
727.0,674.3809523809527,4.0
713.0,685.6190476190477,4.0
745.0,698.5714285714289,9.0
727.0,661.0476190476193,9.0
723.0,661.8095238095239,9.0
723.0,663.7142857142858,9.0
731.0,582.1904761904761,9.0
711.0,627.9047619047619,1.0
709.0,612.0952380952381,1.0
708.0,613.7142857142858,1.0
728.0,787.0476190476193,0.0
726.0,784.5714285714289,0.0
719.0,767.3333333333335,1.0
735.0,863.3333333333335,0.0
734.0,861.1428571428573,0.0
730.0,844.761904761905,0.0
732.0,847.2380952380954,0.0
734.0,845.9047619047619,0.0
718.0,923.2380952380954,0.0
735.0,926.1904761904761,4.0
757.0,909.6190476190477,9.0
758.0,908.0,9.0
754.0,811.6190476190477,4.0
754.0,807.8095238095239,4.0
755.0,804.2857142857142,4.0
760.0,771.4285714285716,1.0
736.0,743.6190476190477,4.0
699.0,754.0,1.0
698.0,751.8095238095239,1.0
692.0,763.4285714285716,4.0
688.0,606.0952380952381,4.0
688.0,606.0952380952381,4.0
692.0,643.4285714285716,0.0
708.0,769.9047619047619,1.0
705.0,770.9523809523812,1.0
704.0,768.761904761905,1.0
697.0,793.4285714285716,4.0
696.0,796.9523809523812,4.0
684.0,759.2380952380954,1.0
676.0,659.8095238095239,1.0
675.0,657.6190476190477,1.0
677.0,671.5238095238096,1.0
711.0,645.0476190476193,1.0
711.0,643.1428571428573,1.0
699.0,761.6190476190477,16.0
720.0,794.2857142857142,0.0
721.0,796.4761904761908,0.0
726.0,759.8095238095239,4.0
727.0,754.3809523809527,4.0
678.0,687.0476190476193,4.0
681.0,689.8095238095239,4.0
680.0,710.4761904761908,1.0
699.0,675.9047619047619,4.0
744.0,704.0,1.0
727.0,737.2380952380954,1.0
731.0,734.5714285714289,4.0
734.0,754.4761904761908,0.0
736.0,789.3333333333335,4.0
777.0,829.6190476190477,4.0
778.0,828.0,4.0
778.0,828.0,4.0
742.0,718.666666666667,4.0
740.0,754.2857142857142,4.0
715.0,790.9523809523812,4.0
696.0,831.2380952380954,0.0
689.0,739.7142857142858,0.0
690.0,741.9047619047619,0.0
691.0,742.1904761904761,0.0
691.0,742.1904761904761,0.0
715.0,670.9523809523812,0.0
733.0,676.0952380952381,0.0
735.0,547.1428571428573,9.0
746.0,584.5714285714289,9.0
738.0,586.0952380952381,9.0
729.0,716.8571428571431,4.0
728.0,716.5714285714289,4.0
645.0,578.5714285714289,1.0
646.0,573.1428571428573,1.0
714.0,666.8571428571431,1.0
714.0,666.8571428571431,1.0
713.0,666.5714285714289,1.0
712.0,664.3809523809527,0.0
711.0,660.2857142857142,0.0
699.0,605.4285714285716,0.0
705.0,614.761904761905,0.0
704.0,612.5714285714289,0.0
703.0,614.1904761904761,0.0
706.0,626.4761904761908,4.0
707.0,632.4761904761908,4.0
707.0,630.5714285714289,4.0
707.0,630.5714285714289,4.0
710.0,639.0476190476193,4.0
763.0,682.761904761905,1.0
762.0,680.5714285714289,0.0
762.0,680.5714285714289,0.0
783.0,665.6190476190477,0.0
786.0,670.2857142857147,0.0
761.0,661.2380952380954,0.0
759.0,660.666666666667,0.0
788.0,644.1904761904761,0.0
789.0,648.2857142857147,0.0
822.0,716.7619047619046,1.0
782.0,703.4285714285716,0.0
715.0,642.3809523809527,1.0
713.0,645.6190476190477,1.0
711.0,652.666666666667,1.0
712.0,654.8571428571431,1.0
691.0,599.3333333333335,4.0
680.0,584.761904761905,1.0
682.0,589.1428571428573,1.0
680.0,582.8571428571431,1.0
680.0,582.8571428571431,1.0
679.0,580.666666666667,1.0
678.0,584.1904761904761,1.0
694.0,592.5714285714289,0.0
681.0,594.5714285714289,0.0
642.0,581.5238095238096,4.0
642.0,581.5238095238096,4.0
690.0,534.2857142857142,9.0
727.0,779.1428571428573,0.0
736.0,819.8095238095239,1.0
736.0,819.8095238095239,1.0
708.0,697.5238095238096,1.0
709.0,699.7142857142858,1.0
685.0,687.1428571428573,4.0
696.0,600.761904761905,1.0
683.0,581.8095238095239,0.0
701.0,607.9047619047619,1.0
685.0,708.0952380952381,4.0
700.0,626.666666666667,4.0
699.0,628.2857142857142,4.0
696.0,621.7142857142858,4.0
696.0,621.7142857142858,4.0
695.0,619.5238095238096,4.0
700.0,706.666666666667,1.0
699.0,704.4761904761908,1.0
700.0,689.5238095238096,1.0
708.0,737.5238095238096,0.0
707.0,731.5238095238096,0.0
708.0,733.7142857142858,0.0
708.0,731.8095238095239,0.0
724.0,778.2857142857142,4.0
744.0,768.761904761905,9.0
743.0,770.3809523809527,9.0
725.0,784.2857142857142,1.0
737.0,782.0,9.0
724.0,816.3809523809527,4.0
707.0,752.4761904761908,4.0
717.0,751.5238095238096,9.0
717.0,755.3333333333335,9.0
719.0,759.7142857142858,9.0
721.0,760.2857142857142,1.0
702.0,857.7142857142858,1.0
708.0,846.0952380952381,1.0
702.0,785.3333333333335,9.0
728.0,705.1428571428573,1.0
727.0,704.8571428571431,1.0
732.0,681.5238095238096,1.0
712.0,652.9523809523812,1.0
711.0,654.5714285714289,1.0
710.0,654.2857142857142,1.0
693.0,683.7142857142858,1.0
718.0,694.666666666667,4.0
717.0,694.3809523809527,4.0
716.0,694.0952380952381,4.0
721.0,695.5238095238096,4.0
704.0,705.9047619047619,4.0
757.0,764.8571428571431,1.0
773.0,716.0952380952381,4.0
781.0,710.761904761905,4.0
780.0,708.5714285714289,4.0
735.0,693.8095238095239,1.0
733.0,687.5238095238096,1.0
776.0,629.3333333333335,4.0
775.0,627.1428571428573,4.0
774.0,621.1428571428573,4.0
734.0,624.9523809523812,4.0
723.0,677.0476190476193,4.0
723.0,677.0476190476193,4.0
731.0,679.3333333333335,4.0
732.0,679.6190476190477,4.0
762.0,682.4761904761908,4.0
762.0,682.4761904761908,4.0
732.0,752.0,1.0
731.0,753.6190476190477,1.0
732.0,752.0,1.0
735.0,750.9523809523812,1.0
743.0,718.9523809523812,4.0
742.0,716.761904761905,4.0
743.0,718.9523809523812,4.0
698.0,671.8095238095239,0.0
666.0,664.5714285714289,0.0
672.0,588.1904761904761,0.0
671.0,586.0,0.0
674.0,584.9523809523812,1.0
673.0,584.666666666667,1.0
673.0,588.4761904761908,1.0
673.0,588.4761904761908,1.0
713.0,716.0952380952381,9.0
713.0,716.0952380952381,9.0
755.0,770.0,1.0
741.0,830.761904761905,0.0
742.0,832.9523809523812,0.0
737.0,785.8095238095239,1.0
737.0,787.7142857142858,1.0
738.0,652.761904761905,9.0
759.0,702.5714285714289,0.0
731.0,675.5238095238096,0.0
734.0,672.5714285714289,0.0
693.0,655.1428571428573,1.0
681.0,670.761904761905,1.0
683.0,663.7142857142858,4.0
682.0,661.5238095238096,4.0
729.0,785.4285714285716,16.0
729.0,674.9523809523812,4.0
703.0,667.5238095238096,1.0
700.0,678.0952380952381,1.0
757.0,694.3809523809527,1.0
758.0,690.8571428571431,1.0
759.0,696.8571428571431,1.0
761.0,703.1428571428573,1.0
762.0,701.5238095238096,1.0
747.0,739.1428571428573,1.0
756.0,713.1428571428573,1.0
770.0,804.761904761905,0.0
770.0,802.8571428571431,0.0
776.0,781.7142857142858,0.0
