n,e_tilda,w^2
0.0,0.0,0.0
1.0,3.727272727272727,0.0
4.0,10.363636363636363,0.0
6.0,13.272727272727273,0.0
8.0,16.181818181818183,0.0
9.0,17.636363636363633,0.0
17.0,29.272727272727266,0.0
18.0,30.727272727272734,0.0
21.0,35.09090909090909,0.0
29.0,37.636363636363626,0.0
77.0,68.81818181818181,0.0
114.0,72.63636363636363,0.0
115.0,78.63636363636363,0.0
146.0,116.90909090909088,0.0
153.0,122.5454545454545,0.0
198.0,142.5454545454545,0.0
197.0,141.090909090909,0.0
230.0,152.72727272727275,0.0
231.0,154.18181818181824,0.0
262.0,335.63636363636374,0.0
272.0,343.36363636363626,0.0
272.0,338.81818181818176,0.0
309.0,297.18181818181824,1.0
344.0,407.18181818181824,1.0
341.0,396.0,1.0
343.0,396.63636363636374,1.0
354.0,426.27272727272725,0.0
325.0,520.4545454545455,0.0
315.0,521.8181818181818,0.0
306.0,522.3636363636363,0.0
305.0,518.6363636363637,0.0
306.0,520.090909090909,0.0
303.0,515.7272727272727,0.0
314.0,522.6363636363637,0.0
313.0,521.1818181818182,0.0
316.0,521.0,0.0
316.0,523.2727272727273,0.0
318.0,530.7272727272727,0.0
319.0,534.4545454545455,0.0
318.0,530.7272727272727,0.0
317.0,529.2727272727273,0.0
307.0,507.909090909091,0.0
307.0,505.63636363636374,0.0
308.0,509.36363636363626,0.0
308.0,509.36363636363626,0.0
306.0,508.72727272727275,0.0
307.0,505.63636363636374,0.0
306.0,497.36363636363626,1.0
305.0,500.4545454545455,1.0
306.0,504.18181818181824,1.0
307.0,510.18181818181824,1.0
308.0,513.909090909091,1.0
307.0,514.7272727272727,1.0
313.0,505.27272727272725,1.0
308.0,502.5454545454545,1.0
307.0,498.81818181818176,1.0
299.0,512.1818181818182,0.0
297.0,513.8181818181818,0.0
287.0,499.27272727272725,0.0
286.0,497.81818181818176,0.0
287.0,501.5454545454545,0.0
287.0,501.5454545454545,0.0
286.0,497.81818181818176,0.0
285.0,507.72727272727275,0.0
285.0,514.5454545454545,0.0
291.0,516.4545454545455,0.0
291.0,521.0,0.0
296.0,541.909090909091,0.0
295.0,540.4545454545455,0.0
306.0,520.090909090909,0.0
